,0
0,Supine_RDI
1,NumberOfDesaturations
2,ODI
3,AHICentral
4,SnoreAbove50
5,Prone_AHI
6,Supine_ODI
7,TotalREMTime
8,Left_AHI
9,MinSatValue
10,SleepLatency
11,NonSupine_RDI
12,%DeepSleep
13,SleepDuringLeft
14,SatBelowEqual88
15,%LightSleep
16,Prone_RDI
17,REM_RDI
18,SnoreAbove60
19,TotalAH_CentralValidSleepTime
20,TotalLightSleepTime
21,REM_ODI
22,Left_ODI
23,REMLatency
24,Right_RDI
25,NonSupine_AHI
26,SleepOverThreshold
27,NREM_AHICentral
28,Right_ODI
29,SatBelow85
30,NREM_AHI
31,Right_AHI
32,TotalApneaSleepTime
33,MeanNadirDesaturations
34,TotalNumberOfApneas
35,SnoreAbove40
36,Supine_AHI
37,NumberOfMixedApneas
38,Prone_ODI
39,MinPRSleep
40,TotalDeepSleepTime
41,AHI
42,TotalWakeTime
43,NREM_RDI
44,NumberOfWakes
45,Left_RDI
46,TotalArousalSleepTime
47,REM_AHI
48,MeanSatValue
49,NREM_ODI
50,RDI
51,NonSupine_ODI
52,TotalSleepTime
53,MeanPRSleep
54,%REM
55,NumberOfCentralAH
56,SleepDuringNonSupine
57,Desats10_9
58,MaxPRSleep
59,MeanSnoreDB
60,MaxSatValue
61,SleepDuringSupine
62,REM_AHICentral
63,SatBelow90
64,SleepDuringRight
65,Desats4_9
66,SleepDuringProne
67,%Sleep
68,%Wake
