,0
0,Lipids_POS_1026.1909_432.5337_308.6315
1,Lipids_POS_1562.1130_323.7412_477.5866
2,Lipids_NEG_595.5402_431.8824_276.7687
3,Lipids_NEG_707.0749_311.5063_255.7721
4,Lipids_NEG_875.1447_384.6253_297.4511
5,Lipids_NEG_1278.0998_529.5348_351.9946
6,Lipids_POS_804.5498_329.7458_309.2152
7,Lipids_POS_890.8511_509.6519_346.2730
8,Lipids_POS_766.6537_421.6346_308.4949
9,Lipids_POS_901.7242_431.7923_338.0081
10,Lipids_POS_630.1731_304.7268_242.9257
11,Lipids_POS_756.4777_243.2753_292.4713
12,Lipids_NEG_745.5001_310.9805_287.1822
13,Lipids_NEG_1207.9676_475.6052_419.4529
14,Lipids_POS_1007.7483_379.9164_351.6191
15,Lipids_POS_1582.1737_342.3463_485.3421
16,Lipids_POS_752.6751_421.1884_310.5850
17,Lipids_POS_532.4386_342.7903_384.7044
18,Lipids_NEG_802.4757_295.8486_297.7825
19,Lipids_POS_758.6010_366.7447_304.0579
20,Lipids_NEG_611.1319_355.7360_264.7135
21,Lipids_NEG_516.4173_310.5189_364.8547
22,Lipids_NEG_239.0591_110.1129_159.5537
23,Lipids_POS_722.6065_368.2298_308.0714
24,Lipids_POS_966.7530_401.6157_348.0465
25,Lipids_POS_758.5683_294.3788_300.8175
26,Lipids_POS_572.3346_163.6255_241.9903
27,Lipids_POS_813.6869_443.7212_321.7866
28,Lipids_NEG_411.3839_283.9114_227.3083
29,Lipids_POS_692.5572_340.4855_292.4598
30,Lipids_NEG_649.4001_311.0872_262.1042
31,Lipids_NEG_887.5641_327.6834_314.8795
32,Lipids_POS_978.8453_454.8685_361.6070
33,Lipids_POS_1368.2505_474.6239_357.1631
34,Lipids_POS_828.6549_346.4583_323.9148
35,Lipids_NEG_1040.8033_405.9280_363.8387
36,Lipids_POS_954.7592_382.5325_345.4053
37,Lipids_NEG_875.1444_463.5306_299.7480
38,Lipids_POS_619.4799_266.3713_280.6317
39,Lipids_NEG_800.5807_343.7668_309.5199
40,Lipids_NEG_891.6908_387.8162_332.2712
41,Lipids_POS_1478.1495_345.9382_465.1836
42,Lipids_POS_850.6410_327.8385_322.9399
43,Lipids_POS_790.2308_366.0863_308.8546
44,Lipids_NEG_888.5754_310.1794_319.8572
45,Lipids_POS_895.0282_421.8872_337.9834
46,Lipids_POS_772.6205_376.4628_309.9569
47,Lipids_NEG_311.1683_473.4376_193.3005
48,Lipids_POS_568.4268_260.1092_321.3737
49,Lipids_NEG_720.6505_403.8259_300.8752
50,Lipids_NEG_774.6240_310.3052_314.9674
51,Lipids_NEG_1089.8691_431.3047_412.3494
52,Lipids_NEG_832.5703_285.1635_313.5707
53,Lipids_POS_738.5057_320.0672_283.5577
54,Lipids_NEG_863.5642_338.6334_311.3011
55,Lipids_NEG_803.3629_389.1444_278.8054
56,Lipids_NEG_743.5468_342.7780_267.4142
57,Lipids_POS_923.7447_461.4450_343.3331
58,Lipids_POS_898.6985_371.3044_336.7365
59,Lipids_NEG_483.1747_248.2659_221.9774
60,Lipids_POS_364.2604_344.8152_209.9800
61,Lipids_NEG_225.1854_174.3394_166.2333
62,Lipids_NEG_685.5033_344.9047_280.1262
63,Lipids_POS_1398.3340_487.9850_369.8738
64,Lipids_POS_740.5570_328.3626_292.7101
65,Lipids_POS_876.5578_305.2190_314.6784
66,Lipids_POS_925.7580_393.8170_345.4627
67,Lipids_NEG_299.2587_195.8678_188.2520
68,Lipids_NEG_1464.0780_344.4566_455.0877
