,0
0,CDR_horizontal_l_eye
1,Vein_Vessel_density_l_eye
2,Cup_width_r_eye
3,Vein_Tortuosity_density_r_eye
4,Vein_Squared_curvature_tortuosity_r_eye
5,Artery_Squared_curvature_tortuosity_l_eye
6,participant_id_r_eye
7,Artery_Fractal_dimension_l_eye
8,Artery_Tortuosity_density_l_eye
9,participant_id_l_eye
10,Tortuosity_density_l_eye
11,Vein_Squared_curvature_tortuosity_l_eye
12,Vein_Fractal_dimension_r_eye
13,Vein_Distance_tortuosity_r_eye
14,Vein_Tortuosity_density_l_eye
15,Vein_Fractal_dimension_l_eye
16,Cup_height_l_eye
17,Disc_height_l_eye
18,Artery_Vessel_density_r_eye
19,Average_width_l_eye
20,Cup_height_r_eye
21,Vein_Average_width_r_eye
22,Fractal_dimension_r_eye
23,Distance_tortuosity_l_eye
24,Artery_Vessel_density_l_eye
25,Artery_Distance_tortuosity_r_eye
26,Artery_Tortuosity_density_r_eye
27,Artery_Average_width_r_eye
28,CDR_vertical_l_eye
29,Average_width_r_eye
30,Disc_width_l_eye
31,Vein_Distance_tortuosity_l_eye
32,Artery_Squared_curvature_tortuosity_r_eye
33,Vessel_density_l_eye
34,Squared_curvature_tortuosity_l_eye
35,Squared_curvature_tortuosity_r_eye
36,Vein_Average_width_l_eye
37,Artery_Distance_tortuosity_l_eye
38,Artery_Average_width_l_eye
39,Tortuosity_density_r_eye
40,Cup_width_l_eye
41,CDR_vertical_r_eye
42,Vessel_density_r_eye
43,Artery_Fractal_dimension_r_eye
44,Vein_Vessel_density_r_eye
45,Distance_tortuosity_r_eye
46,Disc_height_r_eye
47,Disc_width_r_eye
48,CDR_horizontal_r_eye
49,Fractal_dimension_l_eye
