,0
0,q_box_median_pa_s_vi_plus_median
1,q_box_m_s_1_min_elasticity
2,q_box_kpa_1_max_elasticity
3,q_box_median_kpa_mean_elasticity
4,intima_media_th_mm_2_intima_media_thickness
5,q_box_mean_pa_s_vi_plus_standard_deviation
6,att_plus_ssp_plus_m_s_2_ssp_plus
7,q_box_median_m_s_min_elasticity
8,q_box_m_s_2_standard_deviation
9,q_box_m_s_3_mean_elasticity
10,q_box_kpa_3_standard_deviation
11,q_box_median_pa_s_vi_plus_mean
12,q_box_pa_s_2_vi_plus_median
13,q_box_mean_kpa_mean_elasticity
14,q_box_m_s_1_median_elasticity
15,q_box_kpa_2_standard_deviation
16,q_box_m_s_1_mean_elasticity
17,q_box_m_s_2_mean_elasticity
18,intima_media_th_2_fit
19,q_box_m_s_khz_1_vi_plus_mean
20,q_box_mean_m_s_max_elasticity
21,q_box_kpa_3_median_elasticity
22,q_box_median_m_s_mean_elasticity
23,q_box_mean_m_s_mean_elasticity
24,q_box_mean_kpa_median_elasticity
25,q_box_median_kpa_median_elasticity
26,q_box_kpa_1_median_elasticity
27,q_box_kpa_2_median_elasticity
28,q_box_mean_pa_s_vi_plus_mean
29,q_box_m_s_2_max_elasticity
30,q_box_2_stability_index
31,q_box_median_kpa_min_elasticity
32,q_box_m_s_3_min_elasticity
33,q_box_mean_m_s_standard_deviation
34,q_box_kpa_2_max_elasticity
35,q_box_m_s_khz_1_vi_plus_median
36,q_box_m_s_khz_2_vi_plus_standard_deviation
37,att_plus_ssp_plus_db_cm_mhz_2_att_plus
38,q_box_pa_s_3_vi_plus_median
39,q_box_m_s_1_standard_deviation
40,q_box_median_kpa_max_elasticity
41,q_box_pa_s_2_vi_plus_standard_deviation
42,att_plus_ssp_plus_m_s_1_ssp_plus
43,q_box_1_stability_index
44,q_box_m_s_3_median_elasticity
45,q_box_m_s_khz_3_vi_plus_median
46,q_box_mean_kpa_standard_deviation
47,q_box_m_s_3_max_elasticity
48,q_box_median_m_s_khz_vi_plus_median
49,q_box_m_s_khz_2_vi_plus_mean
50,q_box_median_m_s_standard_deviation
51,q_box_median_m_s_median_elasticity
52,q_box_kpa_3_min_elasticity
53,intima_media_th_1_fit
54,q_box_mean_m_s_khz_vi_plus_median
55,q_box_median_kpa_standard_deviation
56,q_box_mean_m_s_khz_vi_plus_standard_deviation
57,q_box_m_s_khz_3_vi_plus_standard_deviation
58,q_box_m_s_2_median_elasticity
59,q_box_kpa_1_standard_deviation
60,q_box_pa_s_1_vi_plus_median
61,q_box_m_s_1_max_elasticity
62,q_box_3_stability_index
63,q_box_pa_s_1_vi_plus_standard_deviation
64,att_plus_ssp_plus_m_s_3_ssp_plus
65,q_box_pa_s_3_vi_plus_mean
66,q_box_mean_m_s_khz_vi_plus_mean
67,q_box_m_s_khz_2_vi_plus_median
68,q_box_kpa_1_min_elasticity
69,q_box_mean_kpa_min_elasticity
70,q_box_median_m_s_khz_vi_plus_standard_deviation
71,q_box_mean_m_s_median_elasticity
72,q_box_pa_s_3_vi_plus_standard_deviation
73,q_box_mean_m_s_min_elasticity
74,q_box_pa_s_1_vi_plus_mean
75,att_plus_ssp_plus_db_cm_mhz_3_att_plus
76,q_box_m_s_2_min_elasticity
77,q_box_kpa_2_min_elasticity
78,q_box_mean_pa_s_vi_plus_median
79,q_box_kpa_3_max_elasticity
80,q_box_m_s_khz_1_vi_plus_standard_deviation
81,att_plus_ssp_plus_db_cm_mhz_1_att_plus
82,intima_media_th_mm_1_intima_media_thickness
83,q_box_m_s_3_standard_deviation
84,q_box_m_s_khz_3_vi_plus_mean
85,q_box_median_pa_s_vi_plus_standard_deviation
86,q_box_kpa_3_mean_elasticity
87,q_box_kpa_1_mean_elasticity
88,q_box_median_m_s_max_elasticity
89,q_box_kpa_2_mean_elasticity
90,q_box_mean_kpa_max_elasticity
91,q_box_median_m_s_khz_vi_plus_mean
92,q_box_pa_s_2_vi_plus_mean
