,0
0,q_box_kpa_3_min_elasticity
1,q_box_pa_s_2_vi_plus_standard_deviation
2,adrr
3,body_comp_trunk_right_fat_mass
4,spine_l1_l3_am_percent
5,body_comp_trunk_left_tissue_percent_fat
6,spine_l2_am_percent
7,femur_left_upper_neck_area
8,body_comp_total_right_total_mass
9,body_comp_leg_right_lean_mass
10,MAD
11,q_box_kpa_2_standard_deviation
12,spine_l4_average_width
13,q_box_median_m_s_mean_elasticity
14,q_box_m_s_khz_3_vi_plus_standard_deviation
15,body_comp_total_diff_lean_mass
16,r_abi
17,femur_neck_mean_area
18,Median
19,q_box_median_pa_s_vi_plus_mean
20,below_70
21,body_ribs_bmc
22,body_comp_legs_tissue_percent_fat
23,femur_right_neck_ya_percent
24,femur_right_wards_area
25,q_box_m_s_3_min_elasticity
26,femur_lower_neck_diff_area
27,body_comp_total_left_tissue_mass
28,TotalNumberOfApneas
29,body_comp_total_left_total_mass
30,bt__hdl_cholesterol
31,bt__lymphocytes_%
32,spine_l1_z_score
33,SleepDuringSupine
34,femur_wards_mean_t_score
35,femur_total_diff_bmd
36,femur_wards_mean_ya_percent
37,bt__ggt
38,femur_neck_mean_ya_percent
39,spine_l4_am_percent
40,Conga
41,femur_left_wards_bmd
42,q_box_median_kpa_max_elasticity
43,femur_troch_diff_bmc
44,l_abi
45,body_comp_arm_right_tissue_percent_fat
46,femur_wards_diff_bmc
47,%Sleep
48,Min.
49,body_comp_legs_region_percent_fat
50,q_box_pa_s_3_vi_plus_standard_deviation
51,femur_right_neck_z_score
52,body_comp_trunk_fat_mass
53,body_comp_android_fat_mass
54,TotalArousalSleepTime
55,bt__sodium
56,bt__hct
57,Cup_height_l_eye
58,bt__basophils_abs
59,femur_right_total_bmc
60,q_box_m_s_khz_2_vi_plus_standard_deviation
61,iqr
62,spine_l1_bmc
63,spine_l2_l3_average_height
64,SatBelow85
65,participant_id_l_eye
66,femur_right_wards_am_percent
67,q_box_kpa_1_median_elasticity
68,spine_l2_l3_am_percent
69,body_comp_legs_tissue_mass
70,Left_RDI
71,body_comp_arm_right_region_percent_fat
72,q_box_1_stability_index
73,body_comp_arm_left_fat_mass
74,Fractal_dimension_l_eye
75,femur_right_troch_ya_percent
76,NonSupine_AHI
77,Cup_height_r_eye
78,femur_lower_neck_mean_bmc
79,body_comp_gynoid_fat_mass
80,body_comp_trunk_left_region_percent_fat
81,body_leg_left_area
82,participant_id_r_eye
83,bt__albumin
84,body_comp_total_right_bone_mass
85,Fractal_dimension_r_eye
86,femur_troch_mean_ya_percent
87,spine_l2_l4_area
88,q_box_mean_kpa_mean_elasticity
89,body_comp_total_left_lean_mass
90,femur_right_total_area
91,spine_l3_average_width
92,q_box_mean_m_s_standard_deviation
93,body_comp_gynoid_lean_mass
94,body_total_left_area
95,CV_Measures_Mean
96,femur_wards_diff_bmd
97,bt__glucose
98,Prone_ODI
99,spine_l3_ya_percent
