,Unnamed: 0,kingdom,phylum,class,order,family,genus,species,sBin,gBin,fBin,dist_SGB,sSGB,gSGB,fSGB
fBin__1|gBin__1|sBin__1,Rep_1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,unknown,1.0,1.0,1,0.0067047066666666,362,260,114
fBin__1|gBin__2|sBin__2,Rep_2,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Methanomassiliicoccus intestinalis,2.0,2.0,1,0.0149959116666666,363,261,114
fBin__2|gBin__3|sBin__3,Rep_3,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,MX-02,MX-02 sp006954405,3.0,3.0,2,0.0154046857142857,372,267,117
fBin__3|gBin__4|sBin__4,Rep_4,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus alvus,4.0,4.0,3,0.0112162311111111,385,276,118
fBin__3|gBin__5|sBin__5,Rep_5,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,unknown,5.0,5.0,3,0.0191835111111111,380,273,118
fBin__3|gBin__5|sBin__6,Rep_6,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp006954425,6.0,5.0,3,0.0196639,381,273,118
fBin__3|gBin__6|sBin__7,Rep_7,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,unknown,7.0,6.0,3,0.153509,unknown,unknown,118
fBin__3|gBin__7|sBin__8,Rep_8,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,UBA71 sp006954465,8.0,7.0,3,0.0278544826086956,376,269,118
fBin__3|gBin__8|sBin__9,Rep_9,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,UBA71,unknown,9.0,8.0,3,0.0,384,275,118
fBin__4|gBin__9|sBin__10,Rep_10,Bacteria,Firmicutes_A,Clostridia,Tissierellales,Peptoniphilaceae,Urinacoccus,Urinacoccus sp001299455,10.0,9.0,4,0.232543,unknown,unknown,1821
fBin__5|gBin__10|sBin__11,Rep_11,Bacteria,Firmicutes_A,Clostridia,Tissierellales,Helcococcaceae,unknown,unknown,11.0,10.0,5,0.0,5298,3899,1545
fBin__6|gBin__11|sBin__12,Rep_12,Bacteria,Myxococcota,Bradimonadia,Bradymonadales,UBA4248,UBA4248,UBA4248 sp004554395,12.0,11.0,6,0.01614917125,1037,794,355
fBin__7|gBin__12|sBin__13,Rep_13,Bacteria,Firmicutes_A,Clostridia_A,Christensenellales,CAG-1252,unknown,unknown,13.0,12.0,7,0.328965,unknown,unknown,unknown
fBin__8|gBin__13|sBin__14,Rep_14,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,unknown,unknown,14.0,13.0,8,0.300994,unknown,unknown,unknown
fBin__9|gBin__14|sBin__15,Rep_15,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,unknown,15.0,14.0,9,0.235108,unknown,unknown,1002
fBin__9|gBin__15|sBin__16,Rep_16,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,unknown,16.0,15.0,9,0.209345,unknown,unknown,1002
fBin__9|gBin__16|sBin__17,Rep_17,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D porcinum,17.0,16.0,9,0.014029,3551,2632,1002
fBin__9|gBin__17|sBin__18,Rep_18,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp900541995,18.0,17.0,9,0.0170160504,3539,2624,1002
fBin__9|gBin__18|sBin__19,Rep_19,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D berlinense,19.0,18.0,9,0.015553375,3542,2626,1002
fBin__9|gBin__19|sBin__20,Rep_20,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,unknown,20.0,19.0,9,0.0112908,3547,2629,1002
fBin__9|gBin__19|sBin__21,Rep_21,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D succinifaciens,21.0,19.0,9,0.0175798875,3546,2629,1002
fBin__9|gBin__19|sBin__22,Rep_22,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp002449305,22.0,19.0,9,0.0,3545,2629,1002
fBin__9|gBin__20|sBin__23,Rep_23,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp900541945,23.0,20.0,9,0.0241021315789473,3548,2630,1002
fBin__9|gBin__20|sBin__24,Rep_24,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp002478955,24.0,20.0,9,0.0,3550,2631,1002
fBin__10|gBin__21|sBin__25,Rep_25,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA9783,unknown,unknown,25.0,21.0,10,0.0056012175,19125,12293,4123
fBin__11|gBin__22|sBin__26,Rep_26,Bacteria,Eremiobacterota,UBP9,UBA4705,UBA4705,UBA4705,unknown,26.0,22.0,11,0.0110116666666666,8709,6074,2131
fBin__11|gBin__22|sBin__27,Rep_27,Bacteria,Eremiobacterota,UBP9,UBA4705,UBA4705,UBA4705,UBA4705 sp004554425,27.0,22.0,11,0.0,8711,6074,2131
fBin__11|gBin__22|sBin__28,Rep_28,Bacteria,Eremiobacterota,UBP9,UBA4705,UBA4705,UBA4705,unknown,28.0,22.0,11,0.0,8712,6074,2131
fBin__12|gBin__23|sBin__29,Rep_29,Bacteria,Eremiobacterota,UBP9,UBA4705,UBA4705,unknown,unknown,29.0,23.0,12,0.306598,unknown,unknown,unknown
fBin__13|gBin__24|sBin__30,Rep_30,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,UMGS1490,UMGS1490 sp900552245,30.0,24.0,13,0.0285149,8782,6134,2166
fBin__13|gBin__25|sBin__31,Rep_31,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,UMGS1490,UMGS1490 sp900547395,31.0,25.0,13,0.0071690766666666,8780,6133,2165
fBin__14|gBin__26|sBin__32,Rep_32,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,QALA01,unknown,32.0,26.0,14,0.0243306,8783,6135,2167
fBin__14|gBin__27|sBin__33,Rep_33,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp000438015,33.0,27.0,14,0.0131361613333333,8779,6132,2164
fBin__14|gBin__28|sBin__34,Rep_34,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp900546565,34.0,28.0,14,0.0121269999999999,8771,6125,2163
fBin__14|gBin__29|sBin__35,Rep_35,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,unknown,35.0,29.0,14,0.0136784,8772,6126,2163
fBin__14|gBin__30|sBin__36,Rep_36,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp002437405,36.0,30.0,14,0.0198724,8773,6127,2163
fBin__14|gBin__31|sBin__37,Rep_37,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp002405555,37.0,31.0,14,0.0158981479999999,8774,6128,2163
fBin__14|gBin__32|sBin__38,Rep_38,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp900548275,38.0,32.0,14,0.0142549533333333,8776,6129,2163
fBin__14|gBin__32|sBin__39,Rep_39,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,unknown,39.0,32.0,14,0.0207122666666666,8775,6129,2163
fBin__14|gBin__33|sBin__40,Rep_40,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,unknown,40.0,33.0,14,0.0150821499999999,8778,6131,2164
fBin__14|gBin__34|sBin__41,Rep_41,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp900545715,41.0,34.0,14,0.0155808492957746,8767,6123,2163
fBin__14|gBin__34|sBin__42,Rep_42,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp900545705,42.0,34.0,14,0.0199954615384615,8768,6123,2163
fBin__14|gBin__35|sBin__43,Rep_43,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,unknown,43.0,35.0,14,0.0166035144444444,8769,6124,2163
fBin__14|gBin__35|sBin__44,Rep_44,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,CAG-312,CAG-312 sp001917305,44.0,35.0,14,0.0162810815384615,8770,6124,2163
fBin__15|gBin__36|sBin__45,Rep_45,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,RF16,RF16 sp900556095,45.0,36.0,15,0.0260794333333333,1370,1066,511
fBin__15|gBin__37|sBin__46,Rep_46,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,RF16,RF16 sp900542355,46.0,37.0,15,0.0,1371,1067,511
fBin__16|gBin__38|sBin__47,Rep_47,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900546445,47.0,38.0,16,0.0301737607142857,2212,1615,653
